prime,prime.result,distance,target,operand,congruent,counterbalance,2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64
5+2+1=,8,2,6,A,no,2,462,537,623,699,332,548,,462,838,806,559,687,677,,570,473,581,418,483,849,,612,526,494,612,795,570,452,688,591,462,752
3+5+2=,10,4,6,A,no,2,536,515,612,688,,537,472,526,762,655,623,676,644,623,548,430,688,623,644,,527,634,602,505,537,838,494,376,688,527,366,333
7+2+1=,10,4,6,A,no,2,505,579,537,557,312,580,452,451,784,,612,,601,,720,430,601,634,600,537,741,548,569,547,591,795,440,441,633,462,548,526
5+1+3=,9,2,7,A,no,2,461,462,536,645,387,698,644,666,752,645,613,730,677,548,504,526,633,547,472,687,709,407,591,548,527,632,473,462,645,654,504,548
3+2+4=,9,2,7,A,no,2,494,548,494,623,376,601,525,483,590,902,634,805,838,569,666,462,622,537,537,634,656,548,559,493,580,483,473,407,548,473,441,634
6+4+1=,11,4,7,A,no,2,537,494,590,397,,536,504,569,656,698,472,987,784,581,601,557,655,505,527,645,484,548,548,698,602,526,484,452,687,537,473,645
2+6+3=,11,4,7,A,no,2,559,537,580,407,333,590,473,665,741,623,483,752,591,386,580,537,666,493,472,709,504,666,729,408,634,,505,548,762,644,547,698
1+2+3=,6,-2,8,A,no,2,581,579,515,848,451,730,559,483,848,687,623,892,698,666,688,494,677,656,591,688,601,784,591,,559,,515,526,602,709,547,677
1+2+3=,6,-2,8,A,no,2,,634,623,634,408,591,419,537,688,677,742,709,719,613,525,547,730,590,548,761,613,881,849,634,569,612,569,408,751,548,,666
1+9+2=,12,4,8,A,no,2,537,527,569,290,472,741,493,516,559,805,644,838,730,590,601,419,612,613,612,,752,602,645,526,,741,472,397,891,687,623,419
9+2+1=,12,4,8,A,no,2,784,548,569,665,527,601,601,612,644,719,580,719,655,548,612,601,687,751,601,665,709,719,688,515,784,558,462,419,537,342,559,622
1+4+2=,7,-2,9,A,no,2,548,526,515,763,386,602,515,580,752,686,645,762,666,591,,602,676,623,484,784,537,569,686,494,516,848,526,558,730,547,472,688
1+4+2=,7,-2,9,A,no,2,634,472,623,613,386,655,600,441,601,795,645,762,901,699,848,494,634,366,537,612,612,537,,472,473,677,451,473,601,548,441,699
5+6+2=,13,4,9,A,no,2,569,440,590,590,376,558,472,526,633,634,537,,849,418,538,526,622,559,570,763,655,611,527,516,548,634,634,580,451,515,515,
5+7+1=,13,4,9,A,no,2,613,591,740,590,439,623,440,505,665,944,632,698,688,623,516,493,515,504,516,548,569,462,569,279,,763,472,462,666,558,504,623
1+3+2=,6,-4,10,A,no,2,494,472,495,773,376,,526,387,709,602,666,666,687,,559,473,451,419,559,806,601,666,634,451,548,752,526,482,526,569,452,376
1+3+2=,6,-4,10,A,no,2,762,473,,720,387,,611,493,729,,580,783,547,473,526,547,708,655,591,526,815,602,601,398,493,601,516,451,580,,493,731
1+4+3=,8,-2,10,A,no,2,461,472,514,783,365,495,462,548,644,322,634,709,,644,538,471,591,505,515,419,548,720,675,514,462,687,622,601,612,558,472,676
5+6+1=,12,2,10,A,no,2,644,451,440,613,344,612,600,364,644,687,558,654,677,623,484,473,559,613,568,591,656,536,558,440,494,752,408,472,634,643,451,741
7+2+3=,12,2,10,A,no,2,623,482,505,688,333,612,505,461,709,613,634,,612,527,515,484,591,526,473,569,709,720,612,505,419,720,569,473,462,591,526,827
4+2+1=,7,-4,11,A,no,2,419,654,569,1256,419,720,439,536,795,559,559,837,570,548,,623,536,731,655,741,686,644,580,612,462,773,623,548,611,570,462,784
4+2+1=,7,-4,11,A,no,2,537,494,504,655,344,666,665,525,569,612,,923,740,623,613,451,548,440,645,838,645,849,439,590,849,688,452,473,892,590,612,752
1+7+5=,13,2,11,A,no,2,537,547,516,709,419,579,,526,,827,536,741,666,601,622,623,526,,622,752,752,698,654,526,580,751,591,536,634,559,537,806
7+5+1=,13,2,11,A,no,2,666,709,698,644,440,601,505,537,709,461,590,741,773,548,570,580,622,548,612,827,590,783,557,558,441,,581,,827,579,569,730
5+1+2=,8,-4,12,A,no,2,526,644,720,720,312,740,559,536,720,763,602,838,624,590,526,538,945,699,666,688,676,645,644,656,559,483,580,462,698,483,516,730
